Country Name,Country Code,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cuba,CUB,4385.002484,4908.879332,5261.896726,5475.581071,5550.705973,5676.141403,5824.103628,5985.201531,6133.473727,6182.773703,6444.980113
Cyprus,CYP,30565.7818,31415.82316,32236.59055,32651.90559,31223.62178,30818.46396,30138.59351,28745.53915,27097.3071,26977.62882,27587.28088
Czech Republic,CZE,17978.52792,19162.86682,20104.76997,20479.23761,19376.96554,19764.01554,20118.58781,19929.76407,19826.79194,20343.68375,21224.63143
Germany,DEU,38969.3217,40456.85738,41831.86709,42365.0975,40086.10476,41785.55691,44125.33141,44259.25991,44354.73689,44874.88121,45253.59609
Djibouti,DJI,1137.582865,1172.788904,1212.509309,1261.739977,1303.21679,1325.990724,1361.568558,1402.799441,1447.47222,1508.291657,1579.92434
Dominica,DMA,5994.701868,6154.642176,6530.488651,6983.303106,6886.596951,6912.435714,6869.734475,6765.489631,6784.104107,7031.440928,6871.281664
Denmark,DNK,58792.67138,60892.76661,61174.54515,60504.7753,57229.05164,58041.41122,58575.61892,58487.78637,58788.08179,59471.01588,60000.81093
Dominican Republic,DOM,4301.884966,4692.985227,5030.363644,5120.606513,5099.604812,5451.06696,5547.788809,5630.988595,5825.533484,6193.764783,6552.692513
Algeria,DZA,4273.312751,4282.328231,4359.375748,4390.499633,4386.038896,4463.394675,4504.920098,4564.435017,4596.219627,4675.885024,4759.595242
East Asia & Pacific (excluding high income),EAP,2610.445627,2868.968984,3197.58951,3440.505855,3677.627892,4008.175818,4316.970434,4608.093518,4904.732818,5198.572157,5496.366202
Early-demographic dividend,EAR,2500.834773,2620.1191,2744.578123,2801.92394,2782.348625,2918.784661,3029.757152,3103.98659,3192.863132,3288.524227,3392.254676
East Asia & Pacific,EAS,6299.476097,6599.877511,6979.22896,7172.877579,7219.847585,7677.795457,7978.507795,8294.195197,8630.136984,8924.230204,9228.102619
Europe & Central Asia (excluding high income),ECA,6628.552286,7152.80647,7686.71219,7998.671711,7478.485323,7822.755234,8240.805364,8478.430259,8740.985157,8879.562114,8879.589961
Europe & Central Asia,ECS,22452.9163,23266.9612,24043.83038,24184.83342,23003.83767,23515.28637,24000.56319,23962.94588,24047.33454,24355.96224,24692.24403
Ecuador,ECU,4286.515247,4400.859602,4421.902428,4624.196579,4573.247084,4657.302361,4943.422704,5140.262907,5311.212121,5439.375953,5366.543804
"Egypt, Arab Rep.",EGY,2112.48797,2217.39483,2333.467313,2456.731426,2524.432444,2602.479549,2593.596902,2593.226466,2591.059451,2608.375197,2665.351614
Euro area,EMU,36862.17127,37878.9518,38822.52975,38800.51993,36927.68075,37610.82843,38275.97737,37842.9065,37616.75641,37953.68913,38588.03714
Eritrea,ERI,554.4881994,535.9296731,532.2314773,471.1666248,480.608925,482.1490904,514.1795982,,,,
Spain,ESP,31110.04447,31865.399,32459.91738,32302.69389,30873.58325,30736.00228,30320.68483,29413.24291,29006.37327,29494.41285,30461.36241
Estonia,EST,14681.22537,16285.00672,17627.02972,16716.50316,14282.6035,14638.60482,15798.63278,16538.2126,16832.0612,17352.66344,17591.73774
Ethiopia,ETH,232.7832002,251.0560465,272.391198,293.8533133,311.3677438,341.3099092,369.58442,391.1317953,421.3841357,452.7782361,487.2900106
European Union,EUU,32732.98556,33705.8092,34611.06684,34638.56054,33020.8796,33658.09787,34246.58222,34011.29297,33986.78619,34447.82955,35099.88889
